label,month,avg_fare,source_note
DEL-BOM,2025-08-01,5080.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-BOM,2025-09-01,5240.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-BOM,2025-10-01,5390.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-BOM,2025-11-01,5220.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-BLR,2025-08-01,5490.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-BLR,2025-09-01,5680.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-BLR,2025-10-01,5810.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-BLR,2025-11-01,5620.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
BOM-BLR,2025-08-01,4680.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
BOM-BLR,2025-09-01,4820.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
BOM-BLR,2025-10-01,4930.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
BOM-BLR,2025-11-01,4780.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-CCU,2025-08-01,4870.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-CCU,2025-09-01,5030.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-CCU,2025-10-01,5180.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-CCU,2025-11-01,5030.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
BLR-HYD,2025-08-01,3180.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
BLR-HYD,2025-09-01,3260.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
BLR-HYD,2025-10-01,3340.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
BLR-HYD,2025-11-01,3240.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
MAA-DEL,2025-08-01,5300.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
MAA-DEL,2025-09-01,5460.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
MAA-DEL,2025-10-01,5620.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
MAA-DEL,2025-11-01,5440.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-HYD,2025-08-01,4730.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-HYD,2025-09-01,4880.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-HYD,2025-10-01,5010.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-HYD,2025-11-01,4860.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
BOM-HYD,2025-08-01,4150.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
BOM-HYD,2025-09-01,4280.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
BOM-HYD,2025-10-01,4390.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
BOM-HYD,2025-11-01,4260.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-AMD,2025-08-01,4320.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-AMD,2025-09-01,4460.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-AMD,2025-10-01,4580.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
DEL-AMD,2025-11-01,4440.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
BLR-CCU,2025-08-01,5080.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
BLR-CCU,2025-09-01,5240.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
BLR-CCU,2025-10-01,5380.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
BLR-CCU,2025-11-01,5220.00,SYNTHETIC placeholder pending real DGCA data - see METHODOLOGY.md
